MinSupport:0.07    MinConfidence:0.6
Hawkins,Scott --> Bancroft,Josiah [confidence = 0.65] [support = 0.091]
McClellan,Brian --> Sanderson,Brandon [confidence = 0.64] [support = 0.111]
Butcher,Jim --> Sanderson,Brandon [confidence = 0.67] [support = 0.107]
Herbert,Frank --> Bancroft,Josiah [confidence = 0.68] [support = 0.086]
Kay,GuyGavriel --> Bancroft,Josiah [confidence = 0.64] [support = 0.086]
Eames,Nicholas, Sanderson,Brandon --> Bancroft,Josiah [confidence = 0.65] [support = 0.082]
Bancroft,Josiah, Novik,Naomi --> Sanderson,Brandon [confidence = 0.66] [support = 0.095]
Novik,Naomi, Sanderson,Brandon --> Bancroft,Josiah [confidence = 0.64] [support = 0.095]
Addison,Katherine/Monette,Sarah, Bancroft,Josiah --> Sanderson,Brandon [confidence = 0.62] [support = 0.086]
Addison,Katherine/Monette,Sarah, Sanderson,Brandon --> Bancroft,Josiah [confidence = 0.6] [support = 0.086]
Bancroft,Josiah, Gaiman,Neil --> Lawrence,Mark [confidence = 0.62] [support = 0.082]
Gaiman,Neil, Lawrence,Mark --> Bancroft,Josiah [confidence = 0.69] [support = 0.082]
Gaiman,Neil, Pratchett,Terry --> Bancroft,Josiah [confidence = 0.62] [support = 0.074]
Lawrence,Mark, Pratchett,Terry --> Bancroft,Josiah [confidence = 0.69] [support = 0.074]
Lawrence,Mark, Sullivan,MichaelJ. --> Bancroft,Josiah [confidence = 0.75] [support = 0.074]
Bancroft,Josiah, Jemisin,N.K. --> Sanderson,Brandon [confidence = 0.63] [support = 0.091]
Bancroft,Josiah, Rowe,Andrew --> Sanderson,Brandon [confidence = 0.61] [support = 0.07]
Abercrombie,Joe, Bancroft,Josiah --> Sanderson,Brandon [confidence = 0.65] [support = 0.07]
Abercrombie,Joe, Sanderson,Brandon --> Bancroft,Josiah [confidence = 0.63] [support = 0.07]
Addison,Katherine/Monette,Sarah, Lawrence,Mark --> Bancroft,Josiah [confidence = 0.69] [support = 0.074]
Hobb,Robin/Lindholm,Megan, Lawrence,Mark --> Bancroft,Josiah [confidence = 0.65] [support = 0.07]
Addison,Katherine/Monette,Sarah, Lawrence,Mark --> Sanderson,Brandon [confidence = 0.65] [support = 0.07]
Lawrence,Mark, Rowe,Andrew --> Sanderson,Brandon [confidence = 0.61] [support = 0.07]
Eames,Nicholas, Lawrence,Mark --> Bancroft,Josiah [confidence = 0.61] [support = 0.07]
Pratchett,Terry, Sullivan,MichaelJ. --> Bancroft,Josiah [confidence = 0.74] [support = 0.07]
Abercrombie,Joe [suppor0.18106995884773663]
Addison,Katherine/Monette,Sarah [suppor0.24691358024691357]
Bancroft,Josiah [suppor0.4156378600823045]
Carey,Mike/Carey,M.R. [suppor0.07407407407407407]
Eames,Nicholas [suppor0.26337448559670784]
Gaiman,Neil [suppor0.2674897119341564]
Hawkins,Scott [suppor0.13991769547325103]
Hobb,Robin/Lindholm,Megan [suppor0.2839506172839506]
Jemisin,N.K. [suppor0.36213991769547327]
Jones,DianaWynne [suppor0.11522633744855967]
Kay,GuyGavriel [suppor0.13580246913580246]
King,Stephen [suppor0.18106995884773663]
Lawrence,Mark [suppor0.30864197530864196]
Lynch,Scott [suppor0.19753086419753085]
Rothfuss,Patrick [suppor0.07818930041152264]
Rowe,Andrew [suppor0.24279835390946503]
Valente,CatherynneM. [suppor0.205761316872428]
Wurts,Janny [suppor0.13580246913580246]
Aaronovitch,Ben [suppor0.10699588477366255]
Ball,KristaD./Ball,K. [suppor0.20164609053497942]
Bardugo,Leigh [suppor0.102880658436214]
Brennan,Marie [suppor0.2757201646090535]
Bujold,LoisMcMaster [suppor0.09053497942386832]
Drake,Darrell [suppor0.11934156378600823]
LeGuin,UrsulaK. [suppor0.2345679012345679]
Martin,GeorgeR.R. [suppor0.09053497942386832]
Pratchett,Terry [suppor0.27983539094650206]
Pullman,Philip [suppor0.07407407407407407]
Sullivan,MichaelJ. [suppor0.23045267489711935]
Villoso,K.S. [suppor0.08641975308641975]
Anders,CharlieJane [suppor0.11522633744855967]
Beaulieu,BradleyP. [suppor0.10699588477366255]
Bennett,RobertJackson [suppor0.12757201646090535]
Chambers,Becky [suppor0.205761316872428]
Liu,Marjorie [suppor0.08641975308641975]
Mieville,China [suppor0.25925925925925924]
North,Claire/Webb,Catherine/Griffin,Kate [suppor0.14814814814814814]
Willis,Connie [suppor0.1440329218106996]
Ahmed,Saladin [suppor0.06995884773662552]
Arden,Katherine [suppor0.205761316872428]
Butcher,Jim [suppor0.16049382716049382]
McCaffrey,Anne [suppor0.07818930041152264]
Schafer,Courtney [suppor0.16049382716049382]
Smith,Sherwood [suppor0.11934156378600823]
Wecker,Helene [suppor0.12345679012345678]
Wells,Martha [suppor0.09053497942386832]
Wolfe,Gene [suppor0.09876543209876543]
deCastell,Sebastien [suppor0.07407407407407407]
*N/A [suppor0.18106995884773663]
Stiefvater,Maggie [suppor0.102880658436214]
Brown,Pierce [suppor0.102880658436214]
McClellan,Brian [suppor0.1728395061728395]
Novik,Naomi [suppor0.26337448559670784]
Sanderson,Brandon [suppor0.41975308641975306]
Abraham,Daniel/Hanover,M.L.N./Corey,JamesS.A. [suppor0.07818930041152264]
Carriger,Gail [suppor0.08641975308641975]
Herbert,Frank [suppor0.12757201646090535]
Hill,Joe [suppor0.06995884773662552]
